text,label
When is Chris Wilson's birthday?,kb_agent
When is Maria Garcia's birthday.,kb_agent
When is James Taylor's birthday?,kb_agent
When is David Chen's birthday?,kb_agent
When is Anna Davis's birthday?,kb_agent
When is Emma Wilson's birthday?,kb_agent
When is Michael Brown's birthday?,kb_agent
When is John Smith's birthday?,kb_agent
When is Tom Miller's birthday?,kb_agent
When is Lisa Anderson's birthday?,kb_agent
When is Jennifer Lee's birthday?,kb_agent
When is Sarah Johnson's birthday?,kb_agent
When is Sophie Brown's birthday?,kb_agent
When is Alex Johnson's birthday?,kb_agent
When is Robert Martinez's birthday?,kb_agent
Which of my team colleagues have birthday in October?,kb_agent
Which of my team colleagues have birthday in January.,kb_agent
Which of my unit colleagues have birthday in July?,kb_agent
Which of my group colleagues have birthday in July?,kb_agent
Which of my project colleagues have birthday in August?,kb_agent
Which of my project colleagues have birthday in April?,kb_agent
Which of my department colleagues have birthday in September?,kb_agent
Which of my project colleagues have birthday in November?,kb_agent
Which of my department colleagues have birthday in March?,kb_agent
Which of my group colleagues have birthday in March?,kb_agent
Which of my department colleagues have birthday in May?,kb_agent
Which of my group colleagues have birthday in April?,kb_agent
Which of my project colleagues have birthday in May?,kb_agent
Which of my group colleagues have birthday in May?,kb_agent
Which of my project colleagues have birthday in July?,kb_agent
Which of my team colleagues have birthday in May?,kb_agent
Which of my group colleagues have birthday in November?,kb_agent
Which of my unit colleagues have birthday in February?,kb_agent
Which of my unit colleagues have birthday in May?,kb_agent
Which of my team colleagues have birthday in September?,kb_agent
What's the vacation schedule for unit?,kb_agent
Would you be able to tell me what the vacation schedule for unit.,kb_agent
Could you explain what the vacation schedule for team?,kb_agent
I'd like to know what the vacation schedule for group?,kb_agent
What's the vacation schedule for project?,kb_agent
Would you be able to tell me what the vacation schedule for project?,kb_agent
Could you explain what the vacation schedule for department?,kb_agent
I'd like to know what the vacation schedule for unit?,kb_agent
What's the vacation schedule for department?,kb_agent
Would you be able to tell me what the vacation schedule for team?,kb_agent
Could you explain what the vacation schedule for group?,kb_agent
I'd like to know what the vacation schedule for project?,kb_agent
What's the vacation schedule for team?,kb_agent
Would you be able to tell me what the vacation schedule for department?,kb_agent
Could you explain what the vacation schedule for project?,kb_agent
I'd like to know what the vacation schedule for department?,kb_agent
What's the vacation schedule for group?,kb_agent
Would you be able to tell me what the vacation schedule for group?,kb_agent
Could you explain what the vacation schedule for unit?,kb_agent
I'd like to know what the vacation schedule for team?,kb_agent
Which of my unit colleagues is on vacation next year?,kb_agent
Which of my project colleagues is on vacation next quarter.,kb_agent
Which of my unit colleagues is on vacation next month?,kb_agent
Which of my group colleagues is on vacation today?,kb_agent
Which of my department colleagues is on vacation today?,kb_agent
Which of my group colleagues is on vacation next month?,kb_agent
Which of my department colleagues is on vacation next month?,kb_agent
Which of my unit colleagues is on vacation today?,kb_agent
Which of my group colleagues is on vacation next year?,kb_agent
Which of my team colleagues is on vacation this week?,kb_agent
Which of my unit colleagues is on vacation this month?,kb_agent
Which of my group colleagues is on vacation next week?,kb_agent
Which of my group colleagues is on vacation this year?,kb_agent
Which of my project colleagues is on vacation this month?,kb_agent
Which of my team colleagues is on vacation next month?,kb_agent
Which of my team colleagues is on vacation this month?,kb_agent
Which of my unit colleagues is on vacation this year?,kb_agent
Which of my project colleagues is on vacation this week?,kb_agent
Which of my project colleagues is on vacation today?,kb_agent
Which of my project colleagues is on vacation next month?,kb_agent
How many holidays are there in Batumi in 2026 year?,kb_agent
How many holidays are there in Almaty in 2024 year.,kb_agent
How many holidays are there in Belarus in 2027 year?,kb_agent
How many holidays are there in Armenia in 2024 year?,kb_agent
